Pillar: 2016/05/16 17:25:28 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3404789] 500}]
Pillar: 2016/05/16 17:25:28 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3406595] 500}]
Pillar: 2016/05/16 17:25:29 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3407322] 500}]
Pillar: 2016/05/16 17:25:29 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3407818] 500}]
Pillar: 2016/05/16 17:25:29 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3407818] 500}]
Pillar: 2016/05/16 17:25:29 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3410420] 500}]
Pillar: 2016/05/16 17:25:30 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3411619] 500}]
Pillar: 2016/05/16 17:25:30 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3415549] 500}]
Pillar: 2016/05/16 17:25:33 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3440936] 500}]
Pillar: 2016/05/16 17:27:10 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3441205] 500}]
Pillar: 2016/05/16 17:27:10 /Users/jde/dev/go/src/github.com/coralproject/pillar/app/pillar/handler/handler.go:13: Call failed [&{<nil> Error setting comment references [Cannot find asset from source: 3441206] 500}]
